Negation type	Category	Sentence
no	Salient absence	('no', 'a well tanned man , with sunglasses and no shirt on , is holding wire and smiling .')
no	Salient absence	('no', 'while seated on a chair , a man wearing a blue shirt , gray pants , multicolored bandanna , and no shoes is blowing through a long tube .')
without	Salient absence	('without', 'a man without a shirt on is riding a bicycle .')
without	Salient absence	('without', 'a man without a shirt is walking on top of lots of rocks .')
not	Outside the frame	('not', 'a man with glasses sitting at a restaurant staring at something that is not shown .')
no	Salient absence	('no', 'a man with no shoes on a mountain putting a pair of pants on .')
no	Salient absence	('no', 'a man wearing no shirt begins to jump from a drum into a crowd of others .')
no	Salient absence	('no', 'a dog licking his lips in a room with no food in its dish .')
no	Salient absence	('no', 'a man with no shirt on is holding a football .')
miss	Salient absence	('miss', 'a man in ethnic attire who is missing several teeth is smiling .')
without	Salient absence	('without', 'two men are wrestling without any shirts on while a judge or ref of some sort starts to interfere .')
not	Not a description/Meta	('not', 'a woman does not waste the nice day by reading on the beach .')
not	Negation of attitude	('not', 'a stout gentleman does not know how to use his umbrella .')
not	Negation of action/behavior	('not', 'a man and a woman are smiling for the camera but the woman is not looking at the camera .')
no	Salient absence	('no', 'dark-haired man with no shirt standing outside .')
no	Salient absence	('no', 'a man in a cap , wearing no shirt or shoes , sits in a blue chair on a cobbled street and paints upon a canvas .')
no	Quotes and idioms	"('no', ""a man walking past a lamp post with a sign saying ' no dogs allowed ' ."")"
sans	Salient absence	('sans', 'a group of young asian men who are sans shirts and wearing identical black and white plaid pants with red belts are dancing and waving their arms in the air around a fire .')
miss	False positive	('miss', 'the two ladies are missing each other .')
without	Salient absence	('without', 'rock climber without a rope .')
lack	False positive	('lack', 'a lack dog and a brown and white dog run on a gravel surface with something red underfoot .')
not	Negation of action/behavior	('not', 'two men not looking at pictures .')
not	Negation of attitude	('not', 'a blond girl sits at a bar next to a few other men who are not paying attention to her and she is sad .')
lack	False positive	('lack', 'a black dog about to jump into a lack to get a small ball .')
not	Quotes and idioms	('not', 'a young boy is climbing a stack of timber next to a sign that says not to climb on timber stacks .')
no	Quotes and idioms	('no', 'two women in large sombreros smile next to a no smoking sign .')
no	Salient absence	('no', 'two men with no shirts are on a rooftop .')
no	Salient absence	('no', 'man with no shirt on wearing shorts and hiking boots standing with hand on his head looking out onto a mountain .')
not	Negation of property	('not', 'a man wearing a hard hat stands in front of buildings not yet finished being built .')
miss	Negation of action/behavior	('miss', 'two men playing soccer , and one man just missed the goal .')
no	Quotes and idioms	"('no', 'a woman \'s hand with blue nail polish and a tattoo that says "" no regrets . ""')"
without	Salient absence	('without', 'a man without a shirt on is rock climbing .')
no	Salient absence	('no', 'a blond boy slides down a sand dune on a skateboard with no wheels .')
no	Salient absence	('no', 'a brown kid wearing jeans and no shirt is weaving a straw rug .')
nowhere	Quotes and idioms	('nowhere', 'a girl with long blond-hair in the middle of nowhere with mountains in the background wearing a shirt from argentina .')
nothing	Salient absence	('nothing', 'two ladies are wearing nothing except body paint and riding on bicycles in a street fair .')
no	Salient absence	('no', 'a man wearing no shirt and many large feathers on his head is looking into a shoe store .')
no	Salient absence	('no', 'a white man working a spotlight with no shirt on .')
no	Salient absence	('no', 'a woman in a blue shirt with no bra .')
without	Other	('without', 'there are 5 people on a stage without their face showing behind a red curtain')
not	Other	('not', 'a bro is skating on a rail in a skate park with not much around except green grass and concrete .')
not	Negation of attitude	('not', 'fat man climbs a tree , but his fat girl friend and dumb dogs wearing sweaters are not impressed .')
no	Salient absence	('no', 'an older , somewhat obese man with no shirt and a tattoo is looking out from the porch of his house while a cat sits on the steps below .')
nothing	Not a description/Meta	"('nothing', ""there 's nothing in the world like taking my kids out play and being a good dad ."")"
n't	Not a description/Meta	"(""n't"", ""lady does n't have time to speak to a real person ."")"
no	Other	('no', 'a family with no home trying to make some type of shelter from sticks and tree limbs in a wooded area .')
not	(Preventing) future events	('not', 'a stewardess on an airplane pushes a cart down the center isle , looking carefully so as not to bump any of the passengers .')
without	Salient absence	('without', 'a man in a blue cap with a blue sweatshirt is talking on a microphone while a man without a shirt smiles .')
no	Salient absence	('no', 'the little boy wearing no shirt is running by a crowd of people .')
without	Salient absence	('without', 'two people are having a nontraditional marriage outside and without traditional tuxedos or dresses .')
no	Salient absence	('no', 'man with no shirt on climbing rocks')
nothing	Salient absence	('nothing', 'a man wearing nothing but a cloth around his waist is standing , facing a crowd with a bright red substance on his back .')
not	Quotes and idioms	"('not', 'a man is holding up a card that says "" i \'m a photographer not a terrorist "" overlooking a crowd of people .')"
not	Not a description/Meta	('not', 'rabbits can be pets not just food .')
no	Outside the frame	('no', 'no faces are shown in this picutre of jeans and sweatshirts .')
not	Salient absence	('not', 'a group of people are either standing or sitting , some are wearing hats and scarves , while some are not .')
no	Salient absence	('no', 'a man with no legs is in a race with his wheelchair .')
no	Salient absence	('no', 'a girl wearing a blue tank top and kahki shorts has two tattoos and has no shoes on , is looking in a toy isle at transformers .')
miss	False positive	('miss', 'a newsstand so packed with magazines , candy and coke-a-cola products that the smiling woman working behind the counter is easy to miss .')
n't	Negation of attitude	"(""n't"", ""a woman who appears to be a student , laughs at something that her male companion does n't seem to find amusing ."")"
not	Salient absence	('not', 'a man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent .')
no	Other	('no', 'a woman with scarves in her head sits with 3 others staring at the camera with no expression .')
without	Salient absence	('without', 'man without shirt climbing rock face .')
n't	Negation of action/behavior	"(""n't"", ""a man in plaid pants and a vest is speaking into a microphone to a group of people , who do n't appear to be looking at him ."")"
no	Salient absence	('no', 'a biker is wearing all black gear with buildings and a tree with no leaves nearby .')
no	False positive	('no', 'a yellow bus with no 3113 on the bus stop and people hopping in .')
no	Salient absence	('no', 'a man with no shirt holding a baby aloft .')
not	(Preventing) future events	('not', 'a girl trying not to get her picture taking on a college campus .')
no	Salient absence	('no', 'a man walking in the sand with no shoes on .')
without	Salient absence	('without', 'a man without a shirt playing tennis .')
miss	Salient absence	('miss', 'a native american person with missing teeth , a red hat and a red wrap or blanket , is smiling .')
nowhere	Quotes and idioms	('nowhere', 'strolling down path to nowhere .')
no	Salient absence	('no', 'a man with an egyptian headdress and no shirt on holds up a doll and smiles .')
no	Not a description/Meta	('no', 'i have no idea !')
not	Other	('not', 'a person wearing clothes that would not typically be found in us baseball is about to hit an incoming ball .')
without	Salient absence	('without', 'the men are without shirt and still enjoying the cold temperature outside their cabin .')
n't	Not a description/Meta	"(""n't"", ""board games are fun , unless you do n't get laid if you win ."")"
no	Quotes and idioms	('no', 'three people stand , ready to ski , next to a no skiing sign .')
no	Quotes and idioms	"('no', 'three boy do "" hear no evil , see no evil , speak no evil . ""')"
no	Salient absence	('no', 'a white woman in a green shirt talking to a child with no shirt on .')
no	Salient absence	('no', 'a man in a brown shirt and jeans kneels with no shoes on a rug near a blue wall and a black gate .')
without	Salient absence	('without', 'a man sitting outside , without shoes .')
miss	Negation of action/behavior	('miss', 'a little girl in a salmon skirt attempting to hit a soccer ball but missing .')
no	Salient absence	('no', 'a middle-aged white male with blue jeans , black gloves , no shirt and a hat is working on a roof .')
without	Salient absence	('without', 'a man without a helmet is riding a red bike .')
no	Salient absence	('no', 'man with no shirt and tatoos on back airborne with skateboard in hand .')
n't	Negation of property	"(""n't"", ""this building is n't in good shape ."")"
no	Not a description/Meta	('no', 'it seems like no matter when i read this , the news is always the same .')
no	Salient absence	('no', 'a man with no shirt bent down getting something out of a bucket .')
not	Salient absence	('not', 'three men , one wearing a hat and two who are not , are kneeling on the ground digging in the dirt surrounding a cement platform .')
no	Salient absence	('no', 'a young black man wearing no shirt and low-riding jeans is popping a wheelie on a bicycle while listening to music through an earbud .')
not	Salient absence	('not', 'woman in nice clothes does not have an umbrella .')
without	Salient absence	('without', 'a man without a shirt is working on top of a building with scaffolding attached .')
without	Salient absence	('without', 'a person wearing a colorful clown outfit without clown makeup on but with a sequined bandit mask and sequined witch hat , is creating something from an orange balloon .')
nothing	Salient absence	('nothing', 'a man is standing on a dock with nothing on but a towel around his waist .')
not	Outside the frame	('not', 'there are several people in the photograph and you can not see their faces , but some of them are waving their arms around .')
no	Salient absence	('no', 'person with no hair and makeup sits next to others in front of portable toilets .')
not	Negation of property	('not', 'a man in glasses completes a task beside a monitor that is not on .')
miss	Negation of action/behavior	('miss', 'missed that point by a landslide .')
no	False positive	('no', 'a crowd of people are standing no a busy sidewalk .')
no	Salient absence	('no', 'a man and women wearing jeans and no helmets are riding on a suzuki street bike .')
not	Negation of property	('not', 'an older man , not white , is sitting at a table attempting to sell different varieties of soda and cigarettes , including pepsi , orange fanta , and marlboro .')
without	Salient absence	('without', 'a little boy is eating pie without utensils .')
miss	Negation of action/behavior	('miss', 'a player swinging and missing a baseball .')
not	Other	('not', 'three people with backpacks walk up a road in a forest , not far behind one white and one black dog .')
not	(Preventing) future events	('not', 'the cowboy in blue is trying not to be thrown off of the horse .')
not	Other	('not', 'workers making dangerous icy steps not so dangerous .')
fail	Negation of action/behavior	('fail', 'dark-skinned individual having a failed high jump attempt .')
no	Salient absence	('no', 'a man wearing no shirt skateboarding on the street')
no	Other	('no', 'five kids jumping for no real reason')
no	Salient absence	('no', 'a man wearing no shirt does a trick on his red and black bicycle .')
no	Salient absence	('no', 'a young boy with no shirt sits on top of a large mound of rocks .')
no	Salient absence	('no', 'a man running with no shoes on his feet .')
no	Salient absence	('no', 'a child with a striped shirt and no shoes on rides the shoulders of a man with a red sweatshirt .')
not	Salient absence	('not', 'a man that is not wearing a shirt is brushing his teeth .')
no	Quotes and idioms	('no', 'three people on skis are standing behind a no skiing sign .')
n't	Negation of property	"(""n't"", ""a middle-aged man 's shaving his beard in a room with white walls which does n't look like a bathroom ."")"
miss	False positive	"('miss', 'a boy and girl ride in the front of a small train labeled "" mississippi train "" .')"
no	Salient absence	('no', 'a man is rock climbing with no noticable harness .')
no	Salient absence	('no', 'two topless men and a woman wearing a dress are splashing around waist deep in ice cold water ; the trees in the background have no leaves and the ground is covered with snow .')
not	Salient absence	('not', 'people are sitting in the grass not wearing shirts .')
no	Salient absence	('no', 'a girl stands on the ledge of her window while wearing no socks .')
not	Outside the frame	('not', 'a lone , 2-3 year old blond child in a blue jacket is putting a small black plastic item in his mouth as he kneels on a waiting room couch pointed toward the back while looking at something or someone not in the room .')
without	Salient absence	('without', 'three men , two with shirts , one without working on the roof of a house .')
n't	Negation of property	"(""n't"", ""bicyclist walks bike down a tunnel that does n't allow cycling ."")"
not	Salient absence	('not', 'two men not wearing any pants are sitting next to each other , both reading , on public transportation .')
no	Salient absence	('no', 'a man lies in an alley next to two plastic bags , wearing one shoe and no shirt .')
not	Outside the frame	('not', 'two young black men play basketball , number ten wears a gsu jersey with white , and the other player wears light blue and yellow , but his number is not pictured , players line the stands , as the coach screams .')
no	Salient absence	('no', 'a man with no shirt on and a hat is using a hammer and anvil .')
without	Salient absence	('without', 'a man without a shirt standing on a roof .')
miss	Salient absence	('miss', 'a short-haired blue bird it may be wearing a black tank top and white pants is carrying a little girl with blond-hair as she holds on to her missing shoe')
no	Salient absence	('no', 'a man wearing no shirt stands on a stage with fire in the background .')
not	Other	('not', 'a group of guys are not he football field playing football .')
no	Salient absence	('no', 'a kid sitting with no shirt or shoes on examining something he has found .')
without	Salient absence	('without', 'a man without a shirt on is guiding a large brown horse pulling a green and yellow wagon .')
not	Negation of property	('not', 'two people covered in paint stand behind a male who is not covered in paint , all waiting for a fresh fruit smoothie or juice .')
without	Negation of action/behavior	('without', 'a baseball player wearing a blue uniform with the letter 16 on it , is attempting to hit the base without the opposite team tagging him out .')
without	Salient absence	('without', 'two men , without any shirts on , are playing table tennis')
no	Salient absence	('no', 'a man wearing blue pants and no shirt is painting a floor blue .')
no	Quotes and idioms	"('no', 'a woman wearing blue nail polish is showing her "" no regrets "" tattoo to the camera .')"
no	Salient absence	('no', 'two men with no shirts are jumping , the one in the foreground is wearing yellow trunks , and the one in the background is wearing blue pants .')
not	Other	('not', 'a man with a cap and jeans is washing the window not on ground level .')
no	Salient absence	('no', 'a man with no shirt is playing tennis .')
no	Salient absence	('no', 'a man wearing no shirt and a hat jumps in the air on a red bicycle .')
no	Quotes and idioms	"('no', ""the young boy looks at the woman like she has no idea what he 's been through ."")"
no	Salient absence	('no', 'two guys in a mirror , one has no shirt on and the other has a black shirt and it shaving .')
without	Salient absence	('without', 'a man without a shirt on is laying on the sidewalk .')
not	Other	('not', 'a woman wearing black leggings and a black tank top is running in a race while bicyclists follow not far behind .')
no	Salient absence	('no', 'a young black man sits in a unfinished brick and mortar building , the large window to his left has no glass , it is daytime and the sun drenches the room , he sits at simple bench and desk holding two blue pens and reading from one of the two note books that lay on the desk , he wears a yellow polo and lights blue shorts .')
no	Salient absence	('no', 'blue tractor digging in front of a building with a mural of a man laying down with no clothes on .')
no	Salient absence	('no', 'women playing a game similar to hockey , but with no ice .')
no	Salient absence	('no', 'a young girl in a yellow dress and no shoes dancing on the dugout at a baseball game .')
without	Salient absence	('without', 'people without shoes on acting like they are sleeping .')
no	Salient absence	('no', 'a man with no shirt stands holding wire in a half built house .')
not	Quotes and idioms	"('not', 'a boy climbing next to a "" do not climb "" sign .')"
no	Salient absence	('no', 'a man with a hat , and no shoes lays on the ground after he wets himself .')
without	Salient absence	('without', 'the lady watches the man without a shirt .')
n't	Negation of attitude	"(""n't"", ""people outside , this young woman does n't look too happy ."")"
n't	Negation of action/behavior	"(""n't"", ""two women are standing outside looking at something with funny expressions on their faces while the other people around them do n't seem to notice ."")"
miss	Negation of action/behavior	('miss', 'a female batter misses a yellow ball while another player practices behind her .')
no	Salient absence	('no', 'a man in a blue shirt with a yellow bag is alone near some trees with no leaves .')
without	Salient absence	('without', 'a man without a shirt runs through water spraying out of a large silver dome .')
not	Negation of attitude	('not', 'a woman teaching a young girl not to be afraid of puppies .')
no	Salient absence	('no', 'a man with glasses and no shirt brushing his teeth .')
no	Salient absence	('no', 'a man with long gray hear and a mustache sits on the ground and has on no shoes .')
no	Salient absence	('no', 'man in hat and overalls with no shirt standing with man in striped shirt')
not	(Preventing) future events	('not', 'a horse has fallen down on the green grass and the jockey riding on top is trying his hardest to not fall off .')
no	Salient absence	('no', 'you african american boy with no shirt on smiling while holding a bowl of food .')
miss	Negation of action/behavior	('miss', 'the little kid just missed a soccer kick for the goal')
not	Other	('not', 'middle-aged women ( maroon shirt ) holding child ( white shirt ) and a young women ( green shirt ) in the not too far distance .')
no	(Preventing) future events	('no', 'the person looks cautiously into traffic to be sure no car is coming .')
not	Quotes and idioms	"('not', 'a man holds up a tiny sign reading "" i \'m a photographer not a terrorist . ""')"
no	Salient absence	('no', 'two men being watched by many , wearing no pants or shirt , one having tattoos and wearing some kind of headgear .')
no	Salient absence	('no', 'a young man wearing shorts and no shirt is high kicking as water flies from his clothing .')
not	Salient absence	('not', 'two men in underwater breathing suits are underwater with another person not in a breathing suit .')
lack	False positive	('lack', 'a man in a long-sleeved lack shirt sitting at an organ in a large building as people 3 people look on .')
no	Salient absence	('no', 'young boy with no shirt on working at a loom .')
n't	Negation of attitude	"(""n't"", ""three young people stand on a stage outside with guitars over their shoulders in front of a crowd , with one person in the crowd also holding a guitar , but many of the people in the crowd do n't seem to be too interested in what is happening on stage ."")"
not	(Preventing) future events	('not', 'a person trying desperately not to be photographed by putting their sweater over their head as they compute .')
nothing	Negation of action/behavior	('nothing', 'several people are standing holing on yellow bars while others are holding nothing .')
no	Salient absence	"('no', ""an elder man wearing black shorts and no shirt on a beach is holding a bottle that 's in a brown bag while lifting his other hand toward a blue towel that is in front of a shirtless man standing next to the man wearing black shorts ."")"
lack	Quotes and idioms	"('lack', 'an older woman with arm crutches is dressed in white and going through her white purse in front of a poster that reads "" lack of money is the root of all evil . ""')"
without	Salient absence	('without', 'a man in blue shorts and without a shirt is jogging down the road while listening to his ipod .')
without	Salient absence	"('without', ""one young girl about six years old , with blond-hair wearing a lime green jacket , blue pants , and red rain boots , is tapping her foot in the lake and she does n't even see the canoe in the distance by the trees without leaves ."")"
not	Negation of attitude	('not', 'a man sitting on a panel not enjoying the speech .')
no	Salient absence	('no', 'a french bike cab with no passengers , sitting by a crosswalk .')
without	Negation of action/behavior	('without', 'two men , one with a black shirt and the other with a white shirt , are kicking each other without making contact .')
not	Outside the frame	('not', 'there are 3 people in this picture , a man who is looking through some object , another looking at something else perhaps not in the picture , and a little girl with her mouth open wide .')
no	Not a description/Meta	('no', 'there is no food at home and waiting for my son .')
fail	False positive	('fail', 'young karate student stares into the mirror at his failure in life .')
not	Negation of attitude	('not', 'depressed man who does not know what to do .')
no	Salient absence	('no', 'a man with no shirt on looking out of a window .')
no	Salient absence	('no', 'a man with glasses and no shirt looks in the mirror as he shaves .')
lack	False positive	('lack', 'a man in a white shirt and black shorts running along the edge of a lack along a concrete path , with buildings and trees in the background .')
without	Salient absence	('without', 'two young girls eating corn on the cob on a sidewalk without shoes .')
no	Not a description/Meta	('no', 'the dog with all the comforts of home and yet still has no home .')
not	Negation of property	('not', 'a man with a wakeboard is diving over a surface that is not water .')
not	Other	('not', 'a surfer balances on a surfboard while another surfer is not on his board in the background .')
miss	False positive	('miss', 'a bald mad smokes a cigarette beside a pillar adorned with a poster of a missing young woman .')
no	Salient absence	('no', 'a boy wearing a helmet and no shirt , in the air on a bike .')
no	Salient absence	('no', 'a boy wearing black pants and no shirt plays with a white balloon .')
no	Salient absence	('no', 'a man with medium length hair , wearing a red beanie and blue shorts with no shirt , on one knee at the beach , sculpting a sand castle with a trough .')
no	Salient absence	('no', 'little boy in red pants , no shirt , picking his teeth .')
no	Salient absence	('no', 'a man with no shirt jumps of a ledge into the water .')
not	(Preventing) future events	('not', 'trying very hard not to blend any of the yellow paint into the white .')
miss	Salient absence	('miss', 'four boys look at the basketball hoop , which is missing the netting .')
without	Salient absence	('without', 'a man is rock climbing without a shirt')
no	Quotes and idioms	"('no', 'a man in a blue button up shirt making a speech with a sign next to him saying , "" no more u.s. dollars to israeli pirates and murderers . ""')"
no	Salient absence	('no', 'two men surfing , one with no shirt the other with a blue shirt , blue shirt riding a wave')
no	Salient absence	('no', 'child in the road have no clothes')
not	(Preventing) future events	('not', 'a cowboy tries not to fall off of the bucking cow , while spectators , a man on a horse , and a rodeo helper observe .')
nothing	Salient absence	('nothing', 'a man in nothing but a pair of shorts and green crocs stands on a bridge covered with snow .')
n't	Other	"(""n't"", ""there is n't a lot of action just a guy at a hotdog stand on normal day ."")"
without	Salient absence	('without', 'two men without shirts on working on a roof of a building that has been damaged .')
no	Salient absence	('no', 'the boy sits in the sand with no shirt .')
n't	Outside the frame	"(""n't"", ""the back of two women looking at something which ca n't be seen but the reflection of one of the women can be seen in the mirror on the table ."")"
n't	(Preventing) future events	"(""n't"", ""children holding onto a tether so that they do n't get lost at a festival ."")"
no	Salient absence	('no', 'a child with a stick and no shirt sitting in the grass')
without	Salient absence	('without', 'a man without a shirt , wearing a helmet , jumping a bike in the air near water .')
no	Negation of action/behavior	('no', 'seated street musician in black derby plays wind instrument with no one listening or watching .')
no	Salient absence	('no', 'a man with no shirt is standing on a scaffold .')
no	Salient absence	('no', 'a large horse with gear , but no rider .')
without	Salient absence	('without', 'three teenagers , two without shoes having a water gun fight with various types of guns trying to spray each other .')
without	Salient absence	('without', 'an old man is walking home in the rain without an umbrella .')
no	Salient absence	('no', 'a man wearing black pants and no shoes appears to float in a laundry room .')
no	(Preventing) future events	('no', 'they are here to ensure no one crosses the barriers .')
miss	Negation of action/behavior	('miss', 'several hockey players are at the end zone as the goalie misses the puck which slid into the net .')
not	Salient absence	('not', 'two men that are not wearing shirts look down from ledges on the side of a gray structure .')
without	Salient absence	('without', 'four men are sitting in front of two large windows ; one man is playing a guitar , one is playing the bongo drums , and two are sitting back without instruments .')
n't	Negation of attitude	"(""n't"", ""these two men playing soccer show they are n't afraid to get a little dirty in the name of sports ."")"
no	Salient absence	('no', 'a guy outside of a gas station wearing no shirt and behind a red truck .')
no	Salient absence	('no', 'a man on a motorcycle with no shirt on at a bike event .')
not	Other	('not', 'a man standing on a boat full of people hands a child over to a man that is not on the boat .')
no	Salient absence	('no', 'man with no shirt walking behind a truck .')
no	Salient absence	('no', 'man running with no shirt wearing number 129 on his shorts .')
miss	Not a description/Meta	('miss', 'images are missing images are missing images are missing images are missing images are missing images are missing')
no	Other	('no', 'a man with curly hair and glasses tries to tug a large rope on a boat to no avail .')
without	Other	('without', 'a man lounges in his room without eating for days .')
without	Salient absence	('without', 'a man without a shirt is standing next to two other men in front of a large boat .')
